Location;Yearly Demand
ISNQE;8800
OAHLE;200
RCQWA;1500
LWUBI;4600
BFJAE;49900
GKKAO;21000
FFSVQ;1400
FLXXC;1300
HNQWN;100
LZQRS;60700
FLDNI;600
LGVQY;3700
ONFHF;25400
JOTIJ;900
TZDIQ;28100
ALKFM;100
CPFKH;8300
DPTBA;48800
EAVPF;1600
YMCZY;8700
GFFJE;700
XOVLM;53000
HDPGX;400
HLRKF;200
WOCMZ;100
MKABB;600
YSFJD;200
KSJER;4400
XGUTS;3300
NRGLY;100
KDCUO;67800
DUYCE;16200
LGISN;5100
UNDVS;37300
FZAYW;1900
NXAZJ;13300
XPPBI;14300
QXNSQ;4300
BIYNB;22300
QWYVZ;8000
TWKZB;22900
RUFTR;100
GXEQH;2600
FEGXC;18300
KAQWX;5600
NAAVF;100
UPKYT;89000
VWDRE;1200
ZYRVF;26000
FXMHQ;2500
